trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,3,-89.60514146468024,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-93.30962266608732,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-112.45302673658605,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-46.09101222754259,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,0,-28.59632830993431,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-62.08568430269792,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-65.39817889947673,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,0,-100.70155040967269,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-4.12947852561803,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-44.614861518066796,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-85.05957327362438,"{0: 15, 1: 1, 2: 0, 3: 3, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-23.346719409841253,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,0,-37.81803782346217,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,0,-128.2798348468557,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-47.96926794940553,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-100.5334819849293,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,0,-58.55712125250334,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-68.66500604528862,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",35,0,-137.22324219966,"{0: 27, 1: 1, 2: 1, 3: 5, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-36.507226749813796,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-47.47793783956992,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,0,1.625104403801857,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-86.52802001468392,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-70.18891834545842,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,0,-74.78173409139649,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,0,-45.331106535478334,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,0,1.747811416837378,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-144.47647589426967,"{0: 13, 1: 0, 2: 1, 3: 5, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,0,-57.29917106697577,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
