trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': -1.1000000000000008}",30,0,-8.809372150433038,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': -1.1500000000000008}",20,0,16.50299735938065,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': -1.2000000000000008}",20,0,-24.07560475494651,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': -1.2500000000000009}",25,0,-36.788290038319644,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
46,False,"{'a': 0.5, 'e': -1.300000000000001}",20,0,-22.89289409581824,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': -1.350000000000001}",25,0,-39.882792075836086,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
48,False,"{'a': 0.5, 'e': -1.400000000000001}",25,0,-15.975067685639722,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
49,False,"{'a': 0.5, 'e': -1.450000000000001}",30,0,-65.10561478380109,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
50,False,"{'a': 0.5, 'e': -1.500000000000001}",30,0,-58.53859963515153,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
51,False,"{'a': 0.5, 'e': -1.5500000000000012}",25,0,29.91599751975281,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': -1.6000000000000012}",20,0,-4.739222351765065,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': -1.6500000000000012}",30,0,-50.297649893865675,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
54,False,"{'a': 0.5, 'e': -1.7000000000000013}",25,0,-42.71138285958338,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
